"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
	2017	1	22	4	31	36	5642		"PAPUA NEW GUINEA:  BOUGAINVILLE ISLAND"	-6.246	155.172	135	7.9	9	3	1						1		3			3	1						1		3		
	2017	2	7	22	3	39			"PAKISTAN:  PASNI"	25.191	63.264	29	6.3									1	20	1		1								1	20	1		1
	2017	2	10	14	4	32			"PHILIPPINES: SURIGAO DEL NORTE"	9.907	125.452	15	6.5	8	8	1			202	3	40	4	215	3	3042	4	8	1			202	3	40	4	215	3	3042	4
	2017	4	5	6	9	2			"IRAN:  SEFID SANG"	35.776	60.436	13	6.1		2	1			11	1		1				1	2	1			11	1		1				1
	2017	4	24	21	39	22	5647		"CHILE:  VALPARAISO"	-33.038	-72.062	28	6.9	9																								
	2017	4	28	20	23	26	5648		"PHILIPPINES: SARANGANI"	5.504	125.066	26	6.9	9					5	1		1	1	1		1					7	1		1	1	1		1
	2017	5	1	12	31	3	5649		"ALASKA:  SKAGWAY; CANADA:  BRITISH COLUMBIA"	59.852	-136.677	1	6.2																									
	2017	5	3	4	47	38			"KYRGYZSTAN:  OSH, BATKEN"	39.494	71.444	11	6									3	537	3										3	537	3		
	2017	5	29	14	35	51			"INDONESIA:  SULAWESI:  POSO"	-1.292	120.431	12	6.6	7					25	1		2	5	1	348	3					25	1		2	5	1	348	3
	2017	6	12	12	28	15	5652		"GREECE: LESBOS"	38.93	26.365	12	6.3		1	1			15	1		2	10	1	250	3	1	1			15	1		2	10	1	250	3
	2017	6	14	7	29	39			"GUATEMALA: QUETZALTENANGO, SUCHITEPEQUEZ; MEXICO"	14.909	-92.009	93	6.9	8	5	1			30	1		3		1		3	5	1			30	1		3		1		3
	2017	6	22	12	31	49			"GUATEMALA: ESCUINTLA, SUCHITEPEQUEZ, GUATEMALA"	13.717	-90.972	38	6.8	6					4	1		2			53	2					4	1		2			53	2
	2017	7	6	8	3	55			"PHILIPPINES: LEYTE"	11.127	124.629	11	6.5	9	4	1			448	3	5	3	735	3	1029	4	4	1			448	3	5	3	735	3	1029	4
	2017	7	17	23	35	14	5654		"RUSSIA: BERING ISLAND"	54.443	168.857	10	7.7	8																								
	2017	7	18	2	6	15			"PERU:  AREQUIPA"	-16.416	-73.636	44	6.4		1	1			1	1							1	1			1	1						
	2017	7	20	22	31	26	5655		"TURKEY: BODRUM, DATCA; GREECE: KOS"	36.929	27.414	7	6.6	7	2	1			500	3		2		1		1	2	1			500	3		2		1		1
	2017	8	8	13	19	54			"CHINA:  SICHUAN PROVINCE:  ABA"	33.193	103.855	9	6.5	5	29	1			525	3	500	4	100	2	72500	4	29	1			525	3	500	4	100	2	72500	4
	2017	8	8	23	27	8			"CHINA:  XINGJIANG: BORTALA"	44.302	82.832	20	6.3						32	1		2	142	3	1060	4					32	1		2	142	3	1060	4
	2017	9	8	4	49	2	5658		"MEXICO: OAXACA, CHIAPAS, TABASCO; GUATEMALA"	14.761	-94.103	46	8.2	9	98	2			251	3	4000	4	47468	4	94027	4	98	2			251	3	4000	4	47468	4	94027	4
	2017	9	19	18	14	7			"MEXICO: MEXICO CITY, MORELOS, PUEBLA"	18.339	-98.68	39	7.1	9	369	3			6000	4	8000	4	226	3	184000	4	369	3			6000	4	8000	4	226	3	184000	4
	2017	9	23	12	53	48			"MEXICO:  OAXACA"	16.626	-95.078	10	6.1		5	1			7	1		1	11	1			5	1			7	1		1	11	1		
	2017	10	31	0	43	12	5663		"NEW CALEDONIA:  LOYALTY ISLANDS"	-21.697	169.149	24	6.7	3																								
	2017	10	31	11	50	37			"INDONESIA:  MALUKU:  AMBON"	-3.745	127.752	6	6.1	5	1	1						1			14	1	1	1						1			14	1
	2017	11	1	2	24	7	5664		"NEW CALEDONIA:  LOYALTY ISLANDS"	-21.648	168.859	22	6.6	3																								
	2017	11	12	18	18	18			"IRAN: KERMANSHAH; IRAQ: KURDISTAN"	34.911	45.959	19	7.3	8	630	3			12900	4	750	4	15500	4	14500	4	630	3			12900	4	750	4	15500	4	14500	4
	2017	11	13	2	29	8			"COSTA RICA: JACO"	9.515	-84.487	19	6.5	8	2	1											2	1										
	2017	11	17	22	34	45			"CHINA:  TIBET (XIZANG PROVINCE): NYINGCHI"	29.833	94.984	8	6.4	9					3	1		3			3000	4					3	1		3			3000	4
	2017	11	19	9	26	13	5723		"NEW CALEDONIA:  LOYALTY ISLANDS"	-21.638	168.673	14	6.3	5																								
	2017	11	19	15	10	28	5724		"NEW CALEDONIA:  LOYALTY ISLANDS"	-21.503	168.598	13	6.6	4																								
	2017	11	19	22	43	25	5670		"NEW CALEDONIA:  LOYALTY ISLANDS"	-21.325	168.672	10	7	4																								
	2017	12	1	2	32	4			"IRAN:  KERMAN"	30.746	57.307	9	6.1	5					51	2		1		2		1					51	2		1		2		1
	2017	12	15	16	47	23			"INDONESIA:  JAVA"	-7.492	108.174	90	6.5	7	4	1			36	1		2			4825	4	4	1			36	1		2			4825	4
	2018	1	10	2	51	29	5672		"HONDURAS"	17.483	-83.52	19	7.5	8								1			7	1								1			7	1
	2018	1	14	9	18	0	5675		"PERU: YAUCA"	-15.982	-74.512	38	7.1	9	2	1			139	3		3	259	3	1577	4	2	1			139	3		3	259	3	1577	4
	2018	1	23	9	32	29	5673		"ALASKA:  KODIAK ISLAND"	56.004	-149.166	14	7.9	9								1												1				
	2018	1	31	7	7	29			"AFGHANISTAN; PAKISTAN:  BALUCHISTAN"	36.526	70.851	194	6.2	6	2	1			15	1							2	1			15	1						
	2018	2	6	15	50	32			"TAIWAN:  HUALIEN"	24.134	121.659	17	6.4		17	1			291	3		2	4	1		1	17	1			291	3		2	4	1		1
	2018	2	16	23	39	28			"MEXICO:  OAXACA"	16.386	-97.979	22	7.2		14	1			19	1		2			1000	3	14	1			19	1		2			1000	3
	2018	2	25	17	44	14			"PAPUA NEW GUINEA: S HIGHLANDS, HELA;  INDONESIA"	-6.07	142.754	25	7.5	8	145	3			300	3	290	4		4		4	145	3			300	3	290	4		4		4
	2018	2	28	2	45	43			"PAPUA NEW GUINEA:  S HIGHLANDS"	-6.17	142.468	16	6.1		1	1											1	1										
	2018	3	4	19	57	29			"PAPUA NEW GUINEA:  S HIGHLANDS"	-6.331	142.599	10	6		11	1											11	1										
	2018	3	6	14	14	5			"PAPUA NEW GUINEA:  S HIGHLANDS, HELA"	-6.304	142.612	20	6.7		25	1							1	1			25	1							1	1		
	2018	4	7	5	48	1			"PAPUA NEW GUINEA:  HELA"	-5.838	142.531	18	6.3		4	1						1		1		1	4	1						1		1		1
	2018	5	4	22	32	37	5678	6864	"HAWAIIAN ISLANDS: PUNA DISTRICT"	19.313	-154.998	2	6.9									1									1	1	370	4	716	3		
	2018	5	9	10	42	31			"AFGHANISTAN: TAKHAR;  PAKISTAN"	36.994	71.382	116	6.2						13	1		1		1	45	1					13	1		1		1	45	1
	2018	7	28	22	48	14	5778		"INDONESIA:  LOMBOK ISLAND"	-8.24	116.508	14	6.4		17	1			355	3		3	5448	4		3	17	1			355	3		3	5448	4		3
	2018	8	5	11	47	3	5685		"INDONESIA:  LOMBOK ISLAND"	-8.258	116.438	34	6.9		560	3			7733	4	509	4		3	83392	4	560	3			7733	4	509	4		3	83392	4
	2018	8	19	0	20	7	5686		"FIJI ISLANDS"	-18.113	-178.153	600	8.2																									
	2018	8	19	4	11	4	5816		"INDONESIA:  LOMBOK ISLAND"	-8.337	116.599	16	6.3		2	1			1	1		2			1705	4	2	1			1	1		2			1705	4
	2018	8	19	14	56	49			"INDONESIA:  LOMBOK ISLAND"	-8.319	116.627	21	6.9		11	1				1		2			1800	4	11	1				1		2			1800	4
	2018	8	21	21	31	6	5687		"VENEZUELA:  SUCRE; TRINIDAD"	10.773	-62.902	146	7.3		5	1						2				3	5	1						2				3
	2018	8	25	22	14	2			"IRAN:  KERMANSHAH"	34.611	46.242	10	6		2	1			267	3		3			2600	4	2	1			267	3		3			2600	4
	2018	8	29	3	51	1	5688		"NEW CALEDONIA:  LOYALTY ISLANDS"	-22.03	170.126	21	7.1																									
	2018	9	5	18	7	15			"JAPAN:  HOKKAIDO"	42.686	141.929	35	6.6	7	44	1			660	3	2000	4		3	15000	4	44	1			660	3	2000	4		3	15000	4
	2018	9	6	15	50	11			"FIJI ISLANDS"	-18.474	179.35	670	7.9																									
	2018	9	28	7	0	14			"INDONESIA:  SULAWESI"	-0.401	119.771	4	6.1		1	1			10	1		1		1		1	1	1			10	1		1		1		1
	2018	9	28	10	2	25	5689		"INDONESIA:  SULAWESI"	-0.256	119.846	20	7.5	8	4340	4	667	3	10679	4	1500	4	3673	4	39191	4	4340	4	667	3	10679	4	1500	4	3673	4	39191	4
	2018	10	10	18	44	28			"INDONESIA:  MADURA ISLAND, JAVA"	-7.453	114.455	9	6	5	4	1			36	1		1			433	3	4	1			36	1		1			433	3
	2018	10	16	1	3	58	5725		"NEW CALEDONIA:  LOYALTY ISLANDS"	-21.743	169.522	17	6.5																									
	2018	10	25	22	55	3	5690		"GREECE:  IONIAN SEA:  ZAKYNTHOS, STROFADES"	37.52	20.557	14	6.8						3	1		2			120	3					3	1		2			120	3
	2018	11	25	16	38	23			"IRAN: KERMANSHAH; IRAQ: KURDISTAN"	34.361	45.744	18	6.3		1	1			759	3		1				1	1	1			759	3		1				1
	2018	11	30	17	29	16			"ALASKA:  ANCHORAGE"	61.316	-149.925	54	7						117	3	150	4	2	1	1650	4					117	3	150	4	2	1	1650	4
	2018	12	5	4	18	42	5698		"NEW CALEDONIA:  LOYALTY ISLANDS"	-21.95	169.427	10	7.5																					1				1
	2019	1	20	1	32	48			"CHILE:  COQUIMBO, LA SERENA"	-30.04	-71.382	63	6.7		2	1						2			1061	4	2	1						2			1061	4
	2019	2	1	16	19	29			"MEXICO:  CHIAPAS; GUATEMALA:  SAN MARCOS"	14.68	-92.453	66	6.7						4	1		2				3					4	1		2				3
	2019	2	22	10	18	17			"ECUADOR: AZUAY, MANABI, MORONA SANT.; PERU"	-2.186	-77.051	145	7.5		1	1			9	1		2	5	1	75	1	1	1			9	1		2	5	1	75	1
	2019	3	1	8	50	42			"PERU:  AREQUIPA"	-14.713	-70.155	267	7		1	1			2	1		1	1	1	17	1	1	1			2	1		1	1	1	17	1
	2019	4	12	11	40	49			"INDONESIA:  SULAWESI ISLAND: LUWUK"	-1.852	122.553	18	6.8		1	1											1	1										
	2019	4	18	5	1	6			"TAIWAN:  HUALIEN"	23.989	121.693	20	6.1		1	1			16	1		1					1	1			16	1		1				
	2019	4	22	9	11	11			"PHILIPPINES:  PAMPANGA PROVINCE"	14.924	120.497	20	6.1		18	1	3	1	183	3	50	4	1046	4	3329	4	18	1	3	1	183	3	50	4	1046	4	3329	4
	2019	5	6	21	19	35			"PAPUA NEW GUINEA:  MOROBE: WAMPAR"	-6.977	146.44	127	7.2									2	130	3										2	130	3		
	2019	5	14	12	58	25	5705		"PAPUA NEW GUINEA:  RABAUL, DUKE OF YORK IS"	-4.051	152.597	10	7.6							1		1		1		1						1		1		1		1
	2019	5	26	7	41	14			"PERU:  LA LIBERTAD, CAJAMARCA; ECUADOR"	-5.796	-75.298	110	8		2	1			30	1		2		3		3	2	1			30	1		2		3		3
	2019	5	30	9	3	32			"EL SALVADOR:  SAN SALVADOR"	13.199	-89.306	58	6.6		1	1			1	1		1			2	1	1	1			1	1		1			2	1
	2019	6	14	0	19	12	5710		"CHILE:  COQUIMBO"	-30.056	-72.082	11	6.4																									
	2019	6	15	22	55	2	5711		"KERMADEC ISLANDS:  S OF, RAOUL"	-30.805	-178.095	34	7.2																									
	2019	6	18	13	22	19	5712		"JAPAN:  NIIGATA PREFECTURE"	38.646	139.472	12	6.4						28	1		2			144	3					28	1		2			144	3
	2019	7	4	17	33	49			"CALIFORNIA:  RIDGECREST;  NEVADA"	35.705	-117.506	11	6.4		1	1				1		2				1	1	1				1		2				1
	2019	7	6	3	19	52			"CALIFORNIA:  RIDGECREST"	35.766	-117.605	8	7.1							1	5300	4	101	3	287	3						1	5300	4	101	3	287	3
	2019	7	14	9	10	50			"INDONESIA:  MOLUCCA ISLANDS:  N"	-0.529	128.093	10	7.3		8	1			134	3		2	1176	4	1158	4	8	1			134	3		2	1176	4	1158	4
	2019	7	26	23	37	58			"PHILIPPINES:  BATANES:  ITBAYAT"	20.807	121.986	10	6		9	1			64	2	0.925	1			266	3	9	1			64	2	0.925	1			266	3
	2019	8	2	12	3	27			"INDONESIA:  JAVA:  BANTEN"	-7.267	104.825	53	6.9		6	1			3	1		2	13	1	458	3	6	1			3	1		2	13	1	458	3
	2019	9	25	23	46	44			"INDONESIA:  MALUKU:  AMBON"	-3.45	128.347	18	6.5		31	1			179	3		3		1	2675	2	31	1			179	3		3		1	2675	4
	2019	9	26	16	36	18			"CHILE:  SOUTH CENTRAL"	-40.815	-72.002	129	6.1		1	1											1	1										
	2019	9	29	15	57	53			"CHILE:  CONCEPCION"	-35.473	-73.162	11	6.8		1	1											1	1										
	2019	10	16	11	37	6			"PHILIPPINES:  MINDANAO:  COTABATO, DAVAO"	6.712	125.005	14	6.4	7	7	1			215	3		3	506	3	2664	4	7	1			215	3		3	506	3	2664	4
	2019	10	29	1	4	44			"PHILIPPINES:  MINDANAO:  COTABATO, DAVAO"	6.802	125.04	15	6.6		12	1			417	3		3	22363	4	12119	4	13	1		1	562	3		3	23303	4	15306	4
	2019	10	31	1	11	19			"PHILIPPINES:  COTABATO, SULTAN KUDARAT"	6.91	125.156	10	6.5		9	1				1		2		3		3	10	1		1		1		2		3		3
	2019	11	14	16	17	40	5733		"INDONESIA:  MOLUCCA ISLANDS:  N"	1.6	126.416	33	7.1		1	1			3	1		1			36	1	1	1			3	1		1			36	1
	2019	11	26	2	54	12			"ALBANIA:  DURRES, THUMANE, TIRANA"	41.521	19.559	20	6.4		51	2			2000	4	1081	4	11000	4	83000	4	51	2			2000	4	1081	4	11000	4	83000	4
	2019	12	15	6	11	52			"PHILIPPINES:  MINDANAO:  DAVAO"	6.708	125.188	22	6.8		13	1	1	1	210	3		4	4546	4	21495	4	13	1	1	1	210	3		4	4546	4	21495	4
	2020	1	7	8	24	26	5736		"PUERTO RICO:  PONCE,SAN JUAN"	17.916	-66.813	10	6.4	8	4	1				1	800	4	300	3	1390	4	4	1				1	800	4	300	3	1390	4
	2020	1	19	13	27	56			"CHINA:  XINJIANG PROVINCE"	39.831	77.106	6	6		1	1			2	1		3				4	1	1			2	1		3				4
	2020	1	24	17	55	14			"TURKEY:  ELAZIG AND MALATYA PROVINCES"	38.39	39.081	12	6.7		41	1			1600	4		4	76	2		4	41	1			1600	4		4	76	2		4
	2020	1	28	19	10	25	5740		"CUBA: GRANMA;  CAYMAN IS;  JAMAICA"	19.44	-78.755	10	7.7									2	1	1		3								2	1	1		3
	2020	2	23	16	0	31			"TURKEY: VAN;  IRAN"	38.482	44.367	10	6		10	1			60	2		2	255	3	600	3	10	1			60	2		2	255	3	600	3
	2020	3	25	2	49	21	5746		"RUSSIA:  KURIL ISLANDS"	48.986	157.693	57	7.5	6																								
	2020	5	2	12	51	6	5747		"GREECE:  CRETE"	34.205	25.712	17	6.6	7																								
	2020	6	4	8	49	39			"INDONESIA: NORTH MALUKU: MOROTAI"	2.923	128.248	107	6.4	4								2	14	1	298	3								2	14	1	298	3
	2020	6	18	12	49	53	5750		"KERMADEC ISLANDS:  S OF, RAOUL"	-33.294	-177.838	10	7.4																									
	2020	6	23	15	29	5	5751		"MEXICO: OAXACA"	16.029	-95.901	26	7.4		10	1			24	1		4			8123	4	10	1			24	1		4			8123	4
	2020	7	17	2	50	23			"PAPUA NEW GUINEA:  MOROBE, ORO"	-7.843	147.766	80	7		1	1			1	1		1			12	1	1	1			1	1		1			12	1
	2020	7	22	6	12	44	5753		"ALASKA"	55.03	-158.522	28	7.8	8								1												1				
	2020	8	18	0	3	48			"PHILIPPINES:  MASBATE"	12.021	124.123	10	6.6	7	2	1			50	1	0.57	1	138	3	1167	4	2	1			50	1	0.57	1	138	3	1167	4
	2020	10	19	20	54	39	5755		"ALASKA"	54.608	-159.655	33	7.6	8																								
	2020	10	30	11	51	27	5757		"GREECE:  SAMOS; TURKEY:  IZMIR"	37.918	26.79	21	7	8	117	3			1054	4	400	4		2		4	118	3			1054	4	400	4		2		4
	2020	12	27	21	39	14	5760		"CHILE:  OFF COAST CENTRAL"	-39.343	-74.99	10	6.7	5																								
	2020	12	29	11	19	54			"BALKANS NW:  CROATIA:  PETRINJA"	45.422	16.255	10	6.4	9	8	1			36	1	4187	4	1500	4	46000	4	8	1			36	1	4187	4	1500	4	46000	4
	2021	1	14	18	28	18			"INDONESIA:  SULAWESI:  MAMUJU, MAJENE"	-2.976	118.901	18	6.2	9	105	3	3	1	6489	4	58.7	4	1150	4	7863	4	105	3	3	1	6489	4	58.7	4	1150	4	7863	4
	2021	1	19	2	46	22			"ARGENTINA:  SAN JUAN PROVINCE"	-31.83	-68.806	20	6.4	6					14	1		2			600	3					14	1		2			600	3
	2021	1	23	23	36	50	5762		"SCOTIA SEA:  SOUTH SHETLAND ISLANDS"	-61.825	-55.494	10	6.9	9																								
	2021	2	10	13	19	55	5763		"NEW CALEDONIA:  LOYALTY ISLANDS"	-23.054	171.601	10	7.7	7																								
	2021	2	13	14	7	50	5823		"JAPAN:  OFF FUKUSHIMA"	37.745	141.749	49	7.1	9	1	1			186	3	7700	4	798	3	19758	4	1	1			186	3	7700	4	798	3	19758	4
	2021	3	3	10	16	10			"GREECE: TYRNAVOS, LARISA"	39.764	22.176	10	6.3	9					11	1	10	3		3		3					11	1	10	3		3		3
	2021	3	4	13	27	36	5769		"NEW ZEALAND:  GISBORNE"	-37.563	179.444	20	7.3	7																								
	2021	3	4	17	41	25	5770		"KERMADEC ISLANDS:  S OF, RAOUL"	-29.613	-177.843	55	7.4	7																								
	2021	3	4	19	28	31	5771		"KERMADEC ISLANDS: SSE OF RAOUL ISLAND"	-29.74	-177.267	19	8.1	9																								
	2021	3	18	0	4	6	5776		"ALGERIA: BEJAIA"	36.915	5.199	8	6	8					17	1		1				1					17	1		1				1
	2021	3	20	9	9	43			"JAPAN:  HONSHU ISLAND"	38.452	141.648	43	7	7					11	1	550	4									11	1	550	4				
	2021	4	10	7	0	17			"INDONESIA: JAVA: LUMAJANG, MALANG"	-8.562	112.519	82	6	5	10	1			39	1		3	85	2	3024	4	10	1			39	1		3	85	2	3024	4
	2021	4	28	2	21	26			"INDIA:  ASSAM"	26.782	92.436	34	6	9	2	1			12	1		2			428	3	2	1			12	1		2			428	3
	2021	5	21	13	48	37			"CHINA: YUNNAN PROVINCE: YANGBI, YONGPING"	25.761	100.011	9	6.1	8	3	1			28	1	49	4					3	3			28	1	49	4				
	2021	5	21	18	4	13			"CHINA: QINGHAI PROVINCE"	34.598	98.251	10	7.3	9	20	1			300	3		1					20	1			300	3		1				
	2021	7	29	6	15	47	5799		"ALASKA PENINSULA"	55.325	-157.841	32	8.2	8																								
	2021	7	30	17	10	19			"PERU:  PIURA"	-4.934	-80.602	32	6.2	7					34	1		2	42	1	831	3					34	1		2	42	1	831	3
	2021	8	11	17	46	14	5801		"PHILIPPINES:  MINDANAO"	6.455	126.742	65	7.1	9	1	1											1	1										
	2021	8	12	18	32	54			"SOUTH SANDWICH ISLANDS"	-57.596	-25.187	63	7.5																									
	2021	8	12	18	35	20	5802		"SOUTH SANDWICH ISLANDS"	-58.416	-25.321	48	8.1																									
	2021	8	14	12	29	8	5803		"HAITI"	18.408	-73.475	10	7.2	9	2248	4	329	3	12763	4	1600	4	53815	4	83770	4	2248	4	329	3	12763	4	1600	4	53815	4	83770	4
	2021	9	8	1	47	47	5806		"MEXICO:  GUERRERO"	16.982	-99.773	20	7	7	3	1				1	200	4			7317	4	3	1				1	200	4			7317	4
	2021	9	27	6	17	22			"GREECE:  CRETE"	35.252	25.26	8	6	8	1	1			20	1		3	772	3			1	1			20	1		3	772	3		
	2021	10	12	9	24	3	5817		"GREECE: CRETE"	35.193	26.256	10	6.4	8								1				1								1				1
	2021	11	14	12	8	38			"IRAN:  HORMOZGAN PROVINCE"	27.736	56.077	10	6.3	9	2	1				2	165	4				2	2	1				2	165	4				2
	2021	11	28	10	52	13			"PERU:  AMAZONAS"	-4.49	-76.846	112	7.5	8					3	1		3	448	3	1699	4					3	1		3	448	3	1699	4
	2021	12	14	3	20	24	5822		"INDONESIA:  FLORES REGION"	-7.603	122.2	18	7.3	9					1	1		2	41	1	200	3					1	1		2	41	1	200	3
	2022	1	7	17	45	30			"CHINA: QINGHAI, GANSU"	37.815	101.278	13	6.6	9					9	1		4			8830	4					9	1		3			8830	4
	2022	1	14	9	5	42			"INDONESIA: PANDEGLANG, BANTEN"	-6.929	105.251	37	6.6	8								3	395	3	2683	4								3	395	3	2683	4
	2022	1	29	2	46	39	5828		"NEW ZEALAND: KERMADEC ISLANDS"	-29.531	-176.749	10	6.5																									
	2022	2	16	7	12	25			"GUATEMALA: BAJA VERAPAZ, GUATEMALA, QUEZALTENANGO"	14.193	-91.297	83	6.2	8	3	1			2	1		2	2	1	31	1	3	1			2	1		2	2	1	31	1
	2022	2	25	1	39	27			"INDONESIA: W SUMATRA: PASAMAN, WEST PASAMAN"	0.233	100.106	12	6.2	9	11	1	4	1	388	3		3	103	3	4800	4	11	1	4	1	388	3		3	103	3	4800	4
	2022	3	16	14	36	33	5832		"JAPAN:  OFF FUKUSHIMA"	37.702	141.587	63	7.3	9	4	1			107	3		2					4	1			107	3		2				
	2022	3	22	17	41	38			"TAIWAN: HUALIEN, T'AIT-TUNG"	23.412	121.562	24	6.7	7					1	1	1.52	2				2					1	1	1.52	2				2
	2022	3	30	20	56	58	5833		"NEW CALEDONIA:  LOYALTY ISLANDS"	-22.716	170.286	10	6.9	7																								
	2022	3	31	5	44	1	5834		"NEW CALEDONIA:  LOYALTY ISLANDS"	-22.579	170.354	10	7	6																								
	2022	5	26	12	2	20			"PERU: PUNO"	-14.863	-70.308	217	7.2	7								2	2	1	87	2								2	2	1	87	2
	2022	7	1	21	32	8			"IRAN:  HORMOZGAN PROVINCE"	26.935	55.254	16	6		5	1			110	3		2					5	1			110	3		2				
	2022	7	27	0	43	24	5855		"PHILIPPINES: LUZON: ABRA"	17.56	120.801	10	7	9	11	1			609	3	48.48	4	856	3	35924	4	11	1			609	3	48.48	4	856	3	35924	4
	2022	9	5	4	52	19			"CHINA:  SICHUAN PROVINCE"	29.726	102.279	10	6.6	9	93	2	25	1	400	3		3					93	2	25	1	400	3		3				
	2022	9	10	23	46	57			"PAPUA NEW GUINEA: MOROBE, EASTERN HIGHLANDS"	-6.256	146.469	90	7.6	8	12	1			42	1		3		3			12	1			42	1		3		3		
	2022	9	18	6	44	14			"TAIWAN:  HUALIEN"	23.159	121.316	10	6.9	9	1	1			140	3		2				2	1	1			140	3		2				2
	2022	9	19	18	5	6	5859		"MEXICO:  MICHOACAN, COLIMA, JALISCO"	18.367	-103.252	15	7.6	9	2	1				1		4	800		6084		2	1				1		4	800		6084	4
	2022	9	22	6	16	9	5861		"MEXICO: MEXICO CITY, MICHOACAN"	18.308	-102.923	24	6.8	8	2	1			3	1		2					2	2			3	1		2				
	2022	10	25	14	59	3			"PHILIPPINES: LUZON: ABRA"	17.662	120.823	27	6.4	8					139	3	1.444	2	434	1	13012	4					139	3	1.444	2	434	1	13012	4
	2022	11	11	10	48	45	5866		"TONGA ISLANDS"	-19.318	-172.1	24	7.3	5																								